chain,draw,a,b,sigma
0,0,-35.958244354390814,0.5178009240545802,5.051482625188624
0,1,-36.001728908991645,0.5189246727368474,5.0324142252633575
0,2,-35.781695998172125,0.5163100394384461,5.152467207532103
0,3,-32.97454786407125,0.49660266875144665,5.039464624894575
0,4,-33.144886255278685,0.49579376925229574,5.0509112043455975
0,5,-32.35688297698911,0.4934555223692478,4.887672114649984
0,6,-32.514527310773055,0.4914575283486032,4.812274358048815
0,7,-31.668840695065892,0.4853877831266811,5.198103705180394
0,8,-31.69889403561611,0.4881784530839183,4.983589075138292
0,9,-31.90125406363245,0.4877724794533202,5.027027102405697
0,10,-31.879832612251544,0.488118847137729,4.932373649293314
0,11,-32.318777674675744,0.49123574350469135,5.210159172076789
0,12,-32.365535438675565,0.49105514328267946,5.2046552192708155
0,13,-31.24375247979277,0.48369859916307223,4.931061965771478
0,14,-34.11754157512292,0.5044265909225646,5.054855198826507
0,15,-32.060261544099994,0.4909536696007264,5.279385609963919
0,16,-34.387825086522916,0.5041846198543398,5.015458601147131
0,17,-34.221460972696356,0.5052356716315477,4.999245869199859
0,18,-34.21323150745064,0.5027608833819548,4.992382907125707
0,19,-34.07061007788761,0.5040649204746579,4.949624911680972
0,20,-33.67687026357051,0.501458304018791,5.146560467687485
0,21,-32.85808031141387,0.4952907525764344,4.842087309560466
0,22,-32.2702516599449,0.49146443948954033,5.066653567027694
0,23,-33.06133980690607,0.4964582323460901,4.91854510874444
0,24,-32.50072018246809,0.49267678210405386,4.953483051038003
0,25,-33.54188826523159,0.49903511946512724,5.351043322138161
0,26,-33.783365822471,0.5022295598105163,5.1870780396714835
0,27,-34.3005664076604,0.5058539358031916,4.890372174955852
0,28,-34.66295528353994,0.5090761949383444,4.859032010671603
0,29,-33.348670745605276,0.500688525686088,5.120593780011554
0,30,-33.330166162722634,0.4990987968423605,5.1051457820818325
0,31,-34.368165431386615,0.5060137850950335,4.985174173217553
0,32,-33.01211118205818,0.49499383745722975,5.078104674649193
0,33,-33.177499812185964,0.4981130618558098,5.116305041948075
0,34,-33.024430023577935,0.49707881640768775,5.033913423903997
0,35,-34.419597014735,0.5068892457802019,4.980914276059231
0,36,-33.67905729310694,0.5009500284482677,4.969034387791821
0,37,-33.78745544848396,0.49880436216842705,4.954055396406802
0,38,-33.5698736143288,0.5034985613621082,4.930692458709942
0,39,-33.629648755637376,0.5000507203675436,4.945188790151549
0,40,-32.32451900924744,0.49273638539864817,4.874175556518855
0,41,-32.49896749060914,0.49169835199163825,4.894725143951291
0,42,-33.099501010421214,0.4978199714838388,4.858249694173785
0,43,-32.62009404566689,0.49492366197632026,5.086354263382674
0,44,-32.600038006445764,0.49515221100574625,4.9344741761070505
0,45,-32.94629815948804,0.4965861683989312,4.943844978460107
0,46,-32.946335189838074,0.4967226376476688,4.967356321954331
0,47,-33.67648776150468,0.5011030161699449,5.035834699772558
0,48,-34.530602553751486,0.5070301707185167,5.10532286394331
0,49,-35.75906187257086,0.515559796948693,5.177391486452754
0,50,-35.02929227398409,0.5121468910893798,5.10418041328255
0,51,-34.722667140107006,0.508035726690368,5.114615663914259
0,52,-32.82789806091504,0.49393994494757865,4.8184038482006954
0,53,-32.525731522399454,0.4928571898027373,4.778513291846379
0,54,-32.65470924977632,0.4930905537108151,4.809007345262252
0,55,-32.59030802474419,0.4935067563816185,4.661112892171712
0,56,-31.09983446021275,0.4848890751803762,4.778498260064462
0,57,-31.527956812884,0.48409916013235893,4.782952730895232
0,58,-31.555500396761218,0.48771909625957877,5.010525089141248
0,59,-34.151108751824424,0.5048532257666085,5.219850749378074
0,60,-33.529247103002085,0.5006728627630134,5.050079089415166
0,61,-33.96258566237022,0.5028908611213057,4.971493788997933
0,62,-33.8637618635094,0.5026981144067569,5.004180057202634
0,63,-31.056163072194693,0.482630635269681,5.040849215554654
0,64,-31.05549312979005,0.48355228366370157,5.379063193409407
0,65,-35.951966479161214,0.5156196379817003,4.6196402897809055
0,66,-34.21781113351785,0.5052555709783212,4.962546862719233
0,67,-34.539601121699505,0.5041303483279307,4.979104083568674
0,68,-34.11622072363653,0.5015951766364165,4.842679050189483
0,69,-34.09104298283934,0.5019235104578105,4.838610111819776
0,70,-33.64647769645847,0.4990641226713449,5.114707910174711
0,71,-32.3895367213578,0.4938396188694629,4.901604118300639
0,72,-32.268509071292065,0.493924705717087,4.895765721274558
0,73,-32.5947032617765,0.4915768627644944,4.94267630774024
0,74,-31.699486548153665,0.4850390826964838,5.183243726967067
0,75,-32.85941589917623,0.4938804819166815,4.800680764454873
0,76,-31.85991060254993,0.48975445514634736,4.796782465814657
0,77,-31.93105382758832,0.48934625909724755,4.993893309234944
0,78,-33.15359324857049,0.49659101758168683,4.769567127965167
0,79,-32.781813387591264,0.4924970127441874,4.945153681037903
0,80,-32.54466597664591,0.4956515904339127,4.963367928165196
0,81,-32.722179910890986,0.4950120075149647,4.987202664766587
0,82,-32.722179910890986,0.4950120075149647,4.987202664766587
0,83,-33.91420717893304,0.5032335456025193,4.990192542892037
0,84,-33.269817173953676,0.49812483762953036,4.993812677003466
0,85,-33.25200444744082,0.4987081391347305,4.954174667430929
0,86,-33.15787307020189,0.4983626055301127,5.143155539553627
0,87,-32.15585606587251,0.48916179266828863,5.0448094507318855
0,88,-33.71004773869256,0.5004488776898761,4.75824460101273
0,89,-33.95441618637635,0.504201228084543,4.831105245382476
0,90,-35.018810925804175,0.5106906482493001,4.905586598986489
0,91,-32.56086507941705,0.49328797274656055,4.83511710977362
